Time,FER,POSE,SER
0,,,
1,,,
2,,,
3,,,
4,,Sad,
5,,Angry,
6,,Angry,
7,,Neutral,
8,,Sad,
9,,Neutral,
10,,Sad,Angry
11,,Sad,Angry
12,,Sad,Angry
13,,Sad,Angry
14,,Sad,Angry
15,,Sad,Angry
16,,Neutral,Angry
17,,Sad,Angry
18,,Angry,Angry
19,,Sad,Angry
20,,Sad,Neutral
21,,Sad,Neutral
22,,Neutral,Neutral
23,,Angry,Neutral
24,,Neutral,Neutral
